brand,model,years,variant,price_usd,battery_capacity_kwh,range_miles,charging_speed_kw,horsepower,torque_nm,drive_type,seating_capacity,body_type,weight_kg,safety_rating,country,segment,annual_sales
Tesla,Model Y,2025,Premium,129624,55,210,270,960,849,AWD,5,Truck,2337,5,US,Luxury,481115
Kia,EV9,2024,Standard,70067,55,186,111,783,737,AWD,7,SUV,1704,4,South Korea,Premium,125092
Fisker,Ocean,2025,Premium,141027,54,190,99,1000,877,AWD,7,Sedan,1626,5,US,Luxury,11123
Hyundai,Ioniq 5,2020,Standard,50631,64,203,104,545,452,FWD,5,Hatchback,1560,5,South Korea,Mid-range,60112
BMW,i4,2025,Premium,113837,72,253,77,1000,842,FWD,7,SUV,1950,4,Germany,Luxury,42535
GM/Chevrolet,Silverado EV,2025,Standard,51177,47,150,108,597,521,FWD,7,Van,1514,4,US,Mid-range,14323
Volkswagen,ID.3,2026,Long Range,92636,110,373,75,1000,867,FWD,7,Truck,2583,5,Germany,Premium,243081
BMW,i7,2024,Standard,64828,43,150,89,368,312,RWD,5,SUV,2130,4,Germany,Mid-range,69279
Kia,Niro EV,2025,Performance,56005,103,361,217,592,524,AWD,7,Sedan,1649,5,South Korea,Mid-range,96451
Audi,Q6 e-tron,2020,Standard,102595,84,278,83,773,639,FWD,5,Coupe,1500,3,Germany,Luxury,45569
Tesla,Model Y,2022,Premium,74321,61,226,217,555,457,FWD,7,Truck,2356,5,US,Premium,438573
BYD,Qin,2023,Base,51322,46,150,54,523,464,RWD,7,Hatchback,1815,5,China,Mid-range,135053
Toyota,bZ4X,2024,Standard,61583,62,215,128,668,665,FWD,5,Hatchback,1929,5,Japan,Mid-range,26767
Audi,Q6 e-tron,2022,Base,87895,84,315,108,609,589,FWD,7,Hatchback,1500,5,Germany,Premium,64291
Volkswagen,ID.3,2025,Performance,88485,106,381,231,983,930,RWD,7,Coupe,1717,3,Germany,Premium,285530
BMW,i3,2023,Premium,102427,53,197,51,829,771,RWD,7,Truck,2700,5,Germany,Luxury,26181
BYD,Max,2025,Premium,104282,70,233,138,1000,890,AWD,7,Van,1633,4,China,Luxury,164080
Tesla,Model X,2026,Performance,167028,106,356,325,1000,866,AWD,7,SUV,2121,4,US,Luxury,191484
Hyundai,Ioniq 6,2024,Premium,45546,45,160,121,424,385,RWD,7,Sedan,1514,4,South Korea,Mid-range,71807
BYD,Max,2025,Standard,86289,82,311,145,1000,911,FWD,5,Van,1500,4,China,Premium,120560
Kia,Picanto EV,2025,Base,58803,70,248,86,636,517,FWD,5,Truck,2466,4,South Korea,Mid-range,111130
Tesla,Model S,2023,Standard,44025,82,284,302,283,237,FWD,7,Truck,2856,5,US,Mid-range,124369
Fisker,Ocean,2024,Long Range,113332,85,274,74,1000,895,RWD,5,Truck,2457,5,US,Luxury,17978
Porsche,Taycan,2024,Long Range,111923,103,358,277,371,339,FWD,7,Hatchback,1657,5,Germany,Luxury,28429
GM/Chevrolet,Silverado EV,2024,Performance,74263,81,285,196,1000,892,RWD,7,Sedan,1589,5,US,Premium,24171
Hyundai,Ioniq 5,2024,Long Range,41622,98,365,103,362,322,FWD,5,Hatchback,1900,5,South Korea,Mid-range,70525
BYD,Qin,2025,Performance,122518,74,252,225,1000,873,AWD,7,Hatchback,1755,4,China,Luxury,150780
Ford,F-150 Lightning,2021,Base,63459,67,253,129,700,632,RWD,4,Truck,2629,4,US,Mid-range,76517
BMW,i5,2023,Premium,140939,59,195,102,1000,942,RWD,5,SUV,1843,5,Germany,Luxury,51811
Tesla,Model 3,2025,Base,90299,49,183,228,631,512,AWD,5,Sedan,1528,3,US,Premium,163915
Audi,Q4 e-tron,2025,Base,79689,82,278,148,505,432,AWD,5,Van,1714,4,Germany,Premium,66705
Mercedes,EQC,2026,Base,137679,71,244,54,848,725,FWD,7,Coupe,1767,5,Germany,Luxury,34790
Toyota,bZ4X,2025,Long Range,72609,97,334,76,912,799,AWD,5,Sedan,1731,4,Japan,Premium,13954
GM/Chevrolet,Equinox EV,2025,Premium,91035,48,164,116,1000,923,AWD,5,SUV,1847,4,US,Premium,12825
Kia,Picanto EV,2023,Base,42172,67,252,142,399,351,AWD,5,Hatchback,1500,4,South Korea,Mid-range,135630
Volkswagen,ID. Aero,2020,Long Range,40763,102,332,75,315,293,AWD,7,Coupe,1532,4,Germany,Mid-range,220087
Rivian,R3,2025,Base,70881,81,285,59,218,273,FWD,5,Truck,2589,5,US,Premium,11173
Mercedes,EQS,2024,Performance,114049,103,368,191,607,502,AWD,5,Van,1541,5,Germany,Luxury,68987
Tesla,Model 3,2024,Standard,36657,61,188,296,270,219,AWD,5,Coupe,1813,5,US,Mid-range,208877
Tesla,Cybertruck,2025,Premium,124866,65,241,330,895,800,AWD,5,Truck,2145,4,US,Luxury,223231
Volkswagen,ID. Buzz,2026,Base,46635,48,169,106,418,376,FWD,7,Van,1500,4,Germany,Mid-range,203221
Ford,Explorer EV,2023,Standard,68554,71,243,137,722,627,FWD,5,SUV,1984,5,US,Premium,60519
Porsche,Taycan,2023,Performance,254017,118,408,222,1000,936,AWD,5,Sedan,1500,5,Germany,Luxury,26159
Tesla,Model X,2021,Standard,27946,48,157,300,188,200,AWD,7,Hatchback,1891,5,US,Budget,162791
Kia,Niro EV,2024,Performance,51698,115,396,188,533,497,RWD,5,Truck,2631,5,South Korea,Mid-range,56242
Volkswagen,ID.4,2024,Standard,36019,63,224,134,257,296,RWD,7,Hatchback,1771,4,Germany,Mid-range,209890
Fisker,Ocean,2024,Premium,121375,71,262,143,1000,845,AWD,7,Van,1768,3,US,Luxury,26859
Mercedes,EQG,2026,Premium,115212,57,174,70,622,619,RWD,7,Sedan,1500,4,Germany,Luxury,42340
Mercedes,EQG,2025,Standard,139106,61,208,52,922,787,RWD,7,Coupe,1656,5,Germany,Luxury,49644
Hyundai,i30,2025,Standard,60051,48,165,73,663,681,AWD,5,Hatchback,1500,4,South Korea,Mid-range,138281
Volkswagen,ID.4,2026,Standard,44501,42,150,146,378,326,FWD,7,Coupe,1547,5,Germany,Mid-range,220387
BYD,Yuan Plus,2024,Base,40390,62,232,89,402,324,AWD,7,Coupe,1810,5,China,Mid-range,138054
Tesla,Cybertruck,2024,Long Range,45682,110,377,313,335,376,RWD,5,Truck,2562,4,US,Mid-range,170687
Mercedes,EQE,2025,Standard,103045,79,264,128,592,542,AWD,5,Van,1542,5,Germany,Luxury,75663
Ford,Mustang Mach-E,2026,Long Range,53194,98,364,83,541,487,RWD,7,Van,1783,4,US,Mid-range,23578
Honda,e:Ny1,2026,Performance,51309,119,410,188,742,677,RWD,5,Sedan,1557,5,Japan,Mid-range,6885
Xiaomi,SU7,2024,Performance,102584,75,250,186,1000,937,AWD,5,Hatchback,1831,5,China,Luxury,19780
Kia,Sportage EV,2024,Long Range,99048,89,324,92,1000,907,FWD,7,SUV,2057,5,South Korea,Premium,55742
Ford,Mustang Mach-E,2023,Base,67976,49,179,108,778,690,AWD,7,SUV,2302,4,US,Premium,21067
Toyota,bZ4X,2023,Standard,69286,67,201,100,831,745,AWD,7,Hatchback,1552,5,Japan,Premium,15625
Mercedes,EQC,2024,Performance,167899,106,375,218,1000,941,RWD,5,Coupe,1729,4,Germany,Luxury,20936
BYD,Qin,2025,Standard,36623,43,164,150,344,318,FWD,5,Truck,2509,5,China,Mid-range,185983
Volkswagen,ID.5,2025,Base,30097,74,267,59,150,200,AWD,7,Coupe,1883,5,Germany,Budget,289031
Tesla,Model S,2023,Performance,82511,86,289,232,553,487,FWD,5,Coupe,1518,4,US,Premium,243479
Toyota,bZ Compact SUV,2022,Performance,56752,91,324,229,598,543,RWD,5,SUV,2143,5,Japan,Mid-range,9887
Kia,EV6,2024,Base,30277,62,226,144,150,200,RWD,5,Van,1644,5,South Korea,Budget,130299
BYD,Qin,2024,Performance,103480,105,347,176,1000,907,RWD,7,SUV,2052,4,China,Luxury,211837
BMW,i7,2026,Base,48107,42,150,139,156,200,AWD,7,SUV,2060,4,Germany,Mid-range,49300
Kia,Sportage EV,2023,Premium,102071,50,174,64,1000,940,FWD,7,SUV,1859,3,South Korea,Luxury,148039
Volkswagen,ID.3,2025,Premium,94111,61,194,64,1000,888,AWD,7,Van,1687,5,Germany,Premium,225387
Tesla,Cybertruck,2025,Standard,125306,42,158,278,868,786,AWD,7,Truck,2372,4,US,Luxury,199754
BMW,i7,2026,Performance,116974,72,251,175,1000,909,RWD,5,Truck,2650,5,Germany,Luxury,50944
Hyundai,Ioniq 6,2024,Long Range,84752,83,305,97,1000,924,RWD,5,Van,1511,5,South Korea,Premium,53893
Ford,Explorer EV,2025,Standard,65329,50,157,137,671,629,RWD,7,Coupe,1592,4,US,Premium,24686
Hyundai,Ioniq,2026,Long Range,78615,78,278,58,987,924,FWD,5,Truck,2653,5,South Korea,Premium,126223
Mercedes,GLE EV,2026,Standard,135101,74,242,111,807,733,FWD,5,SUV,2160,4,Germany,Luxury,54508
Kia,Niro EV,2023,Premium,96493,59,207,90,1000,965,RWD,7,Van,1729,5,South Korea,Premium,123691
Kia,EV9,2023,Base,52108,66,230,119,531,442,FWD,5,SUV,1976,5,South Korea,Mid-range,98868
Audi,e-tron,2023,Base,93511,53,195,64,659,562,AWD,5,Hatchback,1834,5,Germany,Premium,70832
Volkswagen,ID.4,2024,Standard,78233,47,161,105,824,725,FWD,5,Coupe,1684,4,Germany,Premium,259295
Tesla,Model S,2025,Base,101976,84,284,268,754,680,FWD,5,Hatchback,1882,5,US,Luxury,160905
Tesla,Model Y,2024,Standard,110001,53,163,323,809,763,AWD,5,Sedan,1577,4,US,Luxury,414109
GM/Chevrolet,Equinox EV,2025,Performance,83117,107,362,216,1000,888,AWD,5,SUV,1801,3,US,Premium,17250
BMW,i7,2025,Premium,107463,63,242,79,929,805,RWD,5,Sedan,1736,5,Germany,Luxury,59946
GM/Chevrolet,Blazer EV,2022,Standard,55685,80,288,51,670,592,FWD,7,Sedan,1642,4,US,Mid-range,22694
BYD,Max,2026,Performance,90766,91,318,231,1000,928,FWD,5,Sedan,1500,4,China,Premium,205278
Tesla,Model Y,2026,Base,111102,58,194,273,805,733,FWD,5,Sedan,1767,5,US,Luxury,457566
Tesla,Cybertruck,2026,Base,121350,82,289,226,930,825,AWD,5,Truck,2759,5,US,Luxury,144677
BYD,Qin,2025,Base,43869,77,290,123,450,423,FWD,5,Coupe,1761,5,China,Mid-range,211394
Kia,EV9,2026,Long Range,37919,80,304,104,284,216,AWD,5,SUV,2341,5,South Korea,Mid-range,92798
Volkswagen,ID.5,2023,Premium,87379,47,155,74,1000,866,AWD,7,Truck,2532,3,Germany,Premium,280958
Volkswagen,ID. Aero,2025,Long Range,98050,79,271,109,1000,925,FWD,7,Truck,2544,4,Germany,Premium,232457
Audi,Q6 e-tron,2025,Base,91070,66,224,135,640,596,AWD,5,Sedan,1500,3,Germany,Premium,69627
BYD,Dolphin,2026,Base,33590,74,252,145,320,319,AWD,7,Truck,2166,4,China,Budget,225478
Hyundai,Ioniq 5,2023,Long Range,51553,75,265,103,530,474,RWD,5,Coupe,1500,5,South Korea,Mid-range,110986
Ford,Mustang Mach-E,2025,Base,31921,77,284,63,250,221,AWD,5,Coupe,1500,5,US,Budget,21264
Volkswagen,ID.4,2024,Long Range,67460,98,324,92,681,643,FWD,7,Truck,2596,4,Germany,Premium,219503
BMW,i7,2025,Standard,56109,78,280,142,253,262,AWD,5,Hatchback,1729,5,Germany,Mid-range,32771
Mercedes,EQS,2024,Performance,175696,119,421,161,1000,867,AWD,5,Truck,2775,4,Germany,Luxury,47072
Toyota,bZ Compact SUV,2020,Base,47570,42,160,86,419,383,RWD,5,SUV,1792,4,Japan,Mid-range,28709
Tesla,Cybertruck,2024,Performance,68395,95,315,254,520,388,RWD,5,Truck,2391,5,US,Premium,230110
Rivian,R1T,2025,Standard,78693,64,243,115,624,547,RWD,4,Truck,2866,4,US,Premium,14022
Hyundai,Ioniq 6,2025,Standard,46340,71,240,89,473,446,FWD,5,Sedan,1585,3,South Korea,Mid-range,91894
BYD,Seagull,2021,Standard,73231,46,166,143,844,798,AWD,5,Sedan,1547,4,China,Premium,227938
Hyundai,Ioniq 6,2025,Standard,70402,50,170,109,866,746,FWD,5,Sedan,1500,5,South Korea,Premium,69074
Polestar,3,2024,Premium,98224,58,219,103,701,672,RWD,5,Coupe,1500,4,Sweden,Premium,3904
Hyundai,Ioniq,2024,Premium,39646,41,150,94,271,236,AWD,5,Hatchback,1595,5,South Korea,Mid-range,129173
BYD,Yuan Plus,2023,Standard,70732,45,151,118,801,724,FWD,5,Hatchback,1764,4,China,Premium,198624
BMW,i5,2023,Standard,106048,48,195,87,866,827,AWD,5,Hatchback,1511,5,Germany,Luxury,52016
BYD,Seagull,2026,Standard,75688,58,223,77,911,866,AWD,7,Sedan,1545,3,China,Premium,230330
Tesla,Model 3,2024,Premium,164904,51,184,262,1000,922,AWD,5,Coupe,1747,3,US,Luxury,238934
Tesla,Cybertruck,2025,Premium,104330,50,185,262,792,738,RWD,7,Truck,2220,4,US,Luxury,241443
Tesla,Model 3,2022,Premium,74668,61,201,228,552,490,AWD,5,Truck,2148,5,US,Premium,245609
Tesla,Model S,2024,Standard,132958,57,197,313,1000,900,RWD,7,Sedan,1603,5,US,Luxury,220563
Tesla,Model Y,2025,Performance,146522,92,343,226,1000,863,AWD,5,SUV,1942,4,US,Luxury,406719
BMW,i7,2024,Long Range,126323,93,337,134,1000,906,FWD,7,Hatchback,1500,5,Germany,Luxury,51591
Tesla,Model X,2025,Base,42945,77,266,310,248,200,AWD,7,SUV,1861,5,US,Mid-range,202664
BYD,Dolphin,2024,Long Range,38015,87,325,142,383,328,AWD,7,SUV,1687,5,China,Mid-range,241420
Audi,e-tron,2025,Standard,109442,51,161,101,876,844,AWD,5,Hatchback,1589,4,Germany,Luxury,27623
Hyundai,Ioniq 6,2026,Long Range,93180,102,351,126,1000,892,FWD,5,Sedan,1500,4,South Korea,Premium,64997
BMW,i5,2025,Premium,79696,77,251,104,550,514,AWD,5,Truck,2846,5,Germany,Premium,32509
Tesla,Model Y,2025,Standard,85878,49,188,239,605,592,RWD,7,Sedan,2009,4,US,Premium,499717
Tesla,Model Y,2021,Standard,49771,63,225,213,317,261,FWD,5,Coupe,1578,3,US,Mid-range,483023
Tesla,Model 3,2025,Premium,60544,82,287,247,384,366,RWD,5,Truck,2538,5,US,Mid-range,170776
Tesla,Model S,2026,Long Range,125991,75,272,210,955,881,FWD,7,Hatchback,1589,5,US,Luxury,200607
BYD,Seagull,2020,Long Range,48720,95,342,125,449,397,FWD,5,Coupe,1511,4,China,Mid-range,158941
Tesla,Model X,2022,Performance,66278,98,340,286,445,394,RWD,5,Truck,2882,3,US,Premium,108652
Tesla,Model Y,2025,Standard,122991,43,177,222,909,826,AWD,5,Hatchback,1500,4,US,Luxury,444103
Tesla,Model 3,2025,Standard,77509,79,256,348,522,442,RWD,7,Hatchback,1500,3,US,Premium,156028
Hyundai,Ioniq 5,2025,Base,42592,73,215,91,432,362,FWD,5,Truck,2777,4,South Korea,Mid-range,124929
BYD,Max,2026,Standard,42446,53,173,62,444,446,AWD,7,Coupe,1642,4,China,Mid-range,217748
Volkswagen,ID. Aero,2023,Performance,44275,90,308,212,363,288,AWD,7,Hatchback,1606,5,Germany,Mid-range,209760
Hyundai,Ioniq 6,2025,Performance,107109,120,434,239,1000,906,AWD,5,SUV,2249,5,South Korea,Luxury,92278
GM/Chevrolet,Bolt EV,2023,Base,38370,47,177,82,363,331,FWD,7,SUV,2174,5,US,Mid-range,19280
Tesla,Model S,2023,Long Range,82873,89,322,293,559,488,AWD,7,Coupe,1852,5,US,Premium,233601
Ford,Mustang Mach-E,2024,Premium,96727,71,233,129,1000,862,AWD,7,Hatchback,1832,3,US,Premium,75873
BMW,i7,2024,Base,84386,47,177,109,601,552,FWD,7,Sedan,1500,5,Germany,Premium,74771
Tesla,Model Y,2025,Long Range,33796,90,295,251,215,200,RWD,5,SUV,2400,5,US,Budget,476519
Audi,e-tron GT,2025,Base,67635,80,278,90,396,388,FWD,5,Sedan,1712,4,Germany,Premium,62437
Rivian,R2,2025,Long Range,105675,104,386,102,1000,866,AWD,5,SUV,2353,5,US,Luxury,25421
Tesla,Model X,2023,Standard,43959,64,211,208,283,251,FWD,5,SUV,1838,3,US,Mid-range,124556
BYD,Dolphin,2025,Base,19398,80,255,104,165,200,FWD,5,Van,1500,4,China,Budget,165718
Ford,Explorer EV,2026,Base,55828,48,163,69,570,527,RWD,5,Hatchback,1668,5,US,Mid-range,64449
GM/Chevrolet,Blazer EV,2025,Standard,55792,43,150,124,646,596,FWD,7,SUV,1903,5,US,Mid-range,16439
Tesla,Model 3,2025,Premium,151283,58,189,341,1000,918,AWD,5,Sedan,1557,5,US,Luxury,203592
BYD,Qin,2024,Performance,54578,120,427,156,567,531,AWD,5,Hatchback,1638,5,China,Mid-range,139526
Volkswagen,ID. Buzz,2025,Standard,55247,54,199,114,459,410,AWD,5,Sedan,1500,5,Germany,Mid-range,220284
Hyundai,Ioniq 6,2025,Base,37922,51,150,65,325,323,RWD,5,SUV,1992,3,South Korea,Mid-range,75225
Kia,EV9,2023,Base,65534,84,248,58,708,642,FWD,5,SUV,1815,4,South Korea,Premium,115671
Volkswagen,ID.3,2026,Standard,36868,42,175,63,259,233,RWD,7,Van,1542,5,Germany,Mid-range,299992
Hyundai,Ioniq 6,2023,Standard,66320,73,225,111,766,617,RWD,7,Van,1709,4,South Korea,Premium,139935
GM/Chevrolet,Blazer EV,2026,Standard,47749,64,253,114,522,467,RWD,7,Truck,2378,5,US,Mid-range,11602
Tesla,Model S,2025,Standard,75213,79,260,293,528,494,FWD,7,Sedan,1513,5,US,Premium,148099
BYD,Atto 3,2025,Long Range,87159,102,351,140,986,946,AWD,5,Truck,2527,3,China,Premium,204628
GM/Chevrolet,Bolt EUV,2021,Standard,44183,59,207,105,449,443,RWD,5,Van,1615,5,US,Mid-range,22786
Audi,e-tron,2023,Standard,63314,56,189,110,298,281,AWD,5,Van,1632,4,Germany,Mid-range,25175
Hyundai,Kona Electric,2024,Long Range,90975,80,296,119,1000,923,FWD,7,Van,1741,4,South Korea,Premium,59668
Hyundai,Ioniq 5,2022,Performance,81725,72,234,189,1000,888,AWD,5,Sedan,1500,5,South Korea,Premium,72070
Tesla,Model Y,2025,Long Range,64135,98,359,227,471,372,RWD,5,Hatchback,1742,4,US,Mid-range,427732
Volkswagen,ID.4,2025,Performance,91484,74,246,206,1000,891,AWD,5,Coupe,1500,4,Germany,Premium,206750
Hyundai,i30,2024,Premium,40686,67,247,65,381,313,AWD,7,Hatchback,1548,5,South Korea,Mid-range,143645
BYD,Dolphin,2025,Base,52144,44,150,83,572,578,FWD,7,Hatchback,1600,4,China,Mid-range,212512
BYD,Yuan Plus,2024,Base,73962,42,163,109,867,753,RWD,5,Sedan,1597,5,China,Premium,121424
Volkswagen,ID.5,2023,Performance,62312,117,420,161,574,499,FWD,7,Sedan,1792,4,Germany,Mid-range,298301
Tesla,Model 3,2024,Long Range,73678,106,370,205,505,433,RWD,5,Coupe,1536,5,US,Premium,201869
BYD,Leaf 50X,2021,Premium,32843,55,180,131,415,337,AWD,5,SUV,2155,4,China,Budget,173134
BYD,Atto 3,2023,Performance,62875,72,262,179,691,603,RWD,5,Sedan,1665,4,China,Mid-range,207361
BYD,Atto 3,2022,Premium,107436,66,255,125,1000,899,RWD,5,SUV,1887,5,China,Luxury,201045
Tesla,Model 3,2025,Premium,154569,68,235,286,1000,937,RWD,5,Coupe,1756,5,US,Luxury,245844
Audi,e-tron,2024,Standard,62074,65,236,54,256,256,RWD,7,SUV,2242,5,Germany,Mid-range,41240
Kia,EV6,2024,Performance,68316,76,262,155,785,658,RWD,7,Hatchback,1907,4,South Korea,Premium,86275
BMW,iX,2023,Base,98462,53,185,121,800,752,FWD,7,Sedan,1509,5,Germany,Premium,22686
Ford,Mustang Mach-E,2023,Premium,61501,61,209,73,616,524,AWD,7,Sedan,1576,5,US,Mid-range,52208
Hyundai,Ioniq 6,2024,Standard,60165,53,185,61,673,592,FWD,7,SUV,1827,5,South Korea,Mid-range,85467
Tesla,Model 3,2023,Standard,123172,72,246,208,907,860,FWD,5,Hatchback,1779,4,US,Luxury,165942
Hyundai,i30,2024,Base,35093,77,295,136,249,207,FWD,5,Van,1663,4,South Korea,Mid-range,117101
Kia,Niro EV,2021,Premium,101333,71,249,104,1000,846,RWD,5,Van,1660,4,South Korea,Luxury,89918
GM/Chevrolet,Blazer EV,2022,Long Range,54306,86,289,122,669,612,FWD,5,Van,1708,5,US,Mid-range,18445
Volkswagen,ID. Buzz,2025,Performance,58008,105,382,246,563,492,RWD,7,Van,1781,3,Germany,Mid-range,241176
Tesla,Cybertruck,2024,Performance,188965,107,367,318,1000,912,RWD,7,Truck,2274,4,US,Luxury,239165
BYD,Leaf 50X,2025,Standard,33650,64,231,79,332,340,AWD,7,Sedan,1698,4,China,Budget,210399
Volkswagen,ID. Buzz,2023,Base,31851,51,199,81,166,200,FWD,5,Sedan,1500,5,Germany,Budget,272903
BMW,iX,2026,Standard,111338,83,295,74,1000,922,RWD,7,Van,1641,4,Germany,Luxury,20689
Kia,Sportage EV,2024,Standard,56593,56,197,62,590,549,RWD,5,SUV,2177,4,South Korea,Mid-range,135755
Volkswagen,ID.3,2024,Base,71570,58,186,145,746,669,RWD,7,SUV,2030,5,Germany,Premium,287315
Porsche,Macan Electric,2023,Long Range,139595,76,252,293,611,473,FWD,7,Hatchback,1829,3,Germany,Luxury,9428
Kia,Niro EV,2023,Standard,42129,67,226,79,371,263,FWD,7,Hatchback,1795,4,South Korea,Mid-range,121472
BYD,Seagull,2023,Base,52361,60,186,122,534,449,FWD,7,Hatchback,1500,4,China,Mid-range,203886
Tesla,Cybertruck,2022,Performance,161514,115,420,224,1000,924,RWD,5,Truck,2605,4,US,Luxury,172224
Tesla,Model S,2025,Performance,99546,74,250,203,746,677,AWD,7,Hatchback,1588,4,US,Premium,244941
BYD,Dolphin,2023,Premium,78664,83,301,145,845,776,AWD,5,Truck,2356,5,China,Premium,238674
Tesla,Model Y,2022,Base,75540,50,150,293,490,455,FWD,5,Coupe,1503,5,US,Premium,455317
Tesla,Model S,2025,Performance,135541,86,296,299,1000,854,RWD,5,SUV,2369,5,US,Luxury,108193
BYD,Seagull,2024,Base,24520,71,253,58,228,201,AWD,7,Hatchback,1739,5,China,Budget,191198
Tesla,Model Y,2026,Base,113351,74,268,207,835,807,FWD,7,Sedan,1500,5,US,Luxury,463970
Audi,Q6 e-tron,2025,Base,80915,67,220,56,484,414,FWD,5,Sedan,1500,5,Germany,Premium,22856
Tesla,Model X,2023,Performance,84448,73,255,322,602,569,FWD,5,Sedan,1535,4,US,Premium,103295
Hyundai,Ioniq,2024,Base,31858,77,274,140,286,243,FWD,7,Hatchback,1538,3,South Korea,Budget,89552
Volkswagen,ID.5,2025,Standard,70801,60,204,127,785,727,FWD,7,SUV,1837,5,Germany,Premium,299914
Polestar,4,2025,Standard,80679,41,155,113,456,427,AWD,5,Hatchback,1818,5,Sweden,Premium,7428
Tesla,Model S,2025,Base,29089,79,262,231,150,200,FWD,7,Van,1535,5,US,Budget,173989
Volkswagen,ID.3,2026,Long Range,57232,83,283,81,586,546,RWD,7,Van,1604,4,Germany,Mid-range,290062
Fisker,Ronin,2025,Premium,67039,75,271,93,473,448,AWD,7,Coupe,1735,5,US,Premium,2336
Mercedes,EQG,2024,Base,72881,64,235,106,273,269,RWD,5,Truck,2466,4,Germany,Premium,46123
Ford,E-Transit,2024,Premium,81885,80,280,54,950,893,AWD,5,Hatchback,1998,3,US,Premium,49332
BYD,Dolphin,2024,Base,27229,65,227,133,326,301,FWD,5,Hatchback,1522,5,China,Budget,118103
Tesla,Cybertruck,2022,Performance,39720,75,297,204,277,273,AWD,5,Truck,2610,5,US,Mid-range,220959
BMW,i4,2024,Long Range,83738,91,331,92,611,530,FWD,5,Sedan,1527,4,Germany,Premium,68789
Rivian,R2,2025,Performance,104305,113,429,159,1000,875,FWD,7,Hatchback,1500,4,US,Luxury,26219
Kia,EV6,2025,Performance,107335,101,372,208,1000,911,AWD,5,Truck,2775,5,South Korea,Luxury,56222
Kia,Picanto EV,2026,Long Range,38689,93,330,70,322,295,FWD,7,SUV,1906,3,South Korea,Mid-range,112175
BYD,Dolphin,2025,Standard,45069,57,195,113,472,438,RWD,5,Sedan,1566,5,China,Mid-range,196546
Ford,E-Transit,2023,Standard,38404,49,193,124,300,298,FWD,5,Truck,3000,3,US,Mid-range,49683
Tesla,Model S,2025,Standard,47712,47,173,322,308,261,FWD,5,Sedan,1500,4,US,Mid-range,180408
BYD,Dolphin,2023,Long Range,77361,106,386,137,878,785,RWD,7,Truck,2502,5,China,Premium,154361
Volkswagen,ID. Buzz,2024,Base,65767,49,159,110,635,584,FWD,7,Van,1591,5,Germany,Premium,214102
Hyundai,Ioniq 6,2025,Premium,72309,50,167,107,906,841,AWD,5,Van,1602,3,South Korea,Premium,143294
BYD,Leaf 50X,2021,Performance,86937,115,426,246,961,894,FWD,7,Sedan,1500,5,China,Premium,145646
Tesla,Model 3,2026,Standard,127647,66,239,239,936,844,FWD,7,SUV,2416,4,US,Luxury,120535
Kia,Sportage EV,2025,Long Range,37973,76,263,51,328,234,RWD,5,SUV,2061,4,South Korea,Mid-range,66783
BYD,Atto 3,2023,Long Range,48954,95,326,56,512,464,AWD,5,Van,1616,5,China,Mid-range,200483
Kia,EV9,2021,Long Range,60642,110,404,83,698,655,AWD,5,SUV,2142,5,South Korea,Mid-range,116742
Tesla,Model S,2025,Long Range,89183,109,358,300,683,643,FWD,5,Truck,2123,4,US,Premium,161378
Hyundai,Ioniq 5,2024,Premium,41142,53,176,91,367,339,AWD,5,Hatchback,1865,4,South Korea,Mid-range,133250
Hyundai,Ioniq 5,2025,Long Range,49595,75,260,74,496,428,RWD,5,Coupe,1805,5,South Korea,Mid-range,108288
Tesla,Model S,2025,Base,99046,70,238,316,716,620,FWD,5,SUV,2154,4,US,Premium,134937
BYD,Leaf 50X,2024,Standard,68838,49,180,88,757,719,FWD,7,Coupe,1666,4,China,Premium,173863
Tesla,Model 3,2024,Long Range,54793,109,395,265,350,288,FWD,5,Hatchback,1657,4,US,Mid-range,136524
Tesla,Cybertruck,2025,Premium,160712,77,290,265,1000,885,AWD,5,Truck,2776,5,US,Luxury,208796
Volvo,C40 Recharge,2026,Long Range,68235,76,251,127,493,456,FWD,5,SUV,2235,4,Sweden,Premium,22605
BYD,Atto 3,2023,Base,53519,71,260,110,632,516,FWD,7,Hatchback,1500,4,China,Mid-range,222794
Ford,E-Transit,2025,Standard,43156,81,293,147,341,288,FWD,5,Van,1526,4,US,Mid-range,34530
BYD,Leaf 50X,2021,Base,44708,56,204,98,492,419,RWD,7,Hatchback,1500,4,China,Mid-range,132992
BMW,i7,2022,Long Range,115394,99,343,61,1000,863,AWD,5,Sedan,1500,5,Germany,Luxury,58674
GM/Chevrolet,Bolt EUV,2025,Base,38010,63,226,57,303,283,RWD,7,Hatchback,1852,4,US,Mid-range,16274
Kia,EV6,2024,Standard,70387,71,215,57,727,681,RWD,5,Sedan,1504,4,South Korea,Premium,72998
Hyundai,Ioniq,2022,Long Range,67747,90,333,83,779,667,AWD,5,Coupe,1778,5,South Korea,Premium,100096
Volkswagen,ID.4,2024,Performance,78110,111,383,159,886,783,FWD,7,Truck,2339,5,Germany,Premium,260956
BYD,Max,2025,Base,23230,81,262,78,173,200,AWD,5,Van,1500,5,China,Budget,183226
Rivian,R1S,2026,Standard,87078,72,262,114,1000,898,RWD,5,Coupe,1649,5,US,Premium,21561
Mercedes,EQG,2023,Long Range,133059,89,309,123,777,661,AWD,7,Truck,2651,5,Germany,Luxury,29039
